text,tweet2words,num_capitalized,tweet_length,num_negative_words,num_positive_words,num_neutral_words,has_capitalized,num_capitalised_positive_words,num_capitalised_negative_words,num_hashtags,num_special_character,correctedText
"Chicago to Houston, Texas (& vice versa) for only $88 roundtrip with @AmericanAir . https://www. secretflying.com/posts/chicago- houston-vice-versa-96-roundtrip/ … pic.twitter.com/69cAo3UZvn",Chicago Houston Texas vice versa roundtrip https www secretflying com posts chicago houston vice versa roundtrip pic twitter com cAo UZvn,0,22,1,0,18,1,0,0,0,11, Chicago Houston Texas vice versa round trip HTTP WWW secret flying com posts Chicago Houston vice versa round trip pic twitter com co Uzi
We are very excited to see new commercial air service announced today by @AmericanAir between #CLT and #HVN . For New Haven's business community - and all of our air travelers - Charlotte connects @FlyTweed to another 150 destinations worldwide!,We excited see new commercial air service announced today CLT HVN For New Haven business community air travelers Charlotte connects another destinations worldwide,2,22,0,1,39,1,0,0,2,9, We excited see new commercial air service announced today CL HEN For New Haven business community air travelers Charlotte connects another destinations worldwide
. @WSJ asked CEO’s of the Big Three American airlines to sit in the cheap seats to see what it’s like. @AmericanAir CEO (left) and @Delta CEO (right) agreed; @united CEO refused. They’re smiling. It should be noted however there were no passengers next to them or crying babies. pic.twitter.com/gtAHGvALBy,asked CEO Big Three American airlines sit cheap seats see like CEO left CEO right agreed CEO refused They smiling It noted however passengers next crying babies pic twitter com gtAHGvALBy,4,33,1,0,49,1,0,0,0,16, asked CEO Big Three American airlines sit cheap seats see like CEO left CEO right agreed CEO refused They smiling It noted however passengers next crying babies pic twitter com 
"A big thank you to all of our business school & corporate partners who attended the MBA Prep seminar, hosted by @YaleSOM , this past weekend! #MLTYaleSOM @Bridgewater @CloroxCo @pgcareers @AmericanAir @BabsonGraduate @BerkeleyHaas @BUQuestrom @ChicagoBooth @Columbia_Biz",A big thank business school corporate partners attended MBA Prep seminar hosted past weekend MLTYaleSOM,1,25,0,1,35,1,0,0,1,15, A big thank business school corporate partners attended MBA Prep seminar hosted past weekend Mettlesome
"Flights to #China as low as $394RT on @AmericanAir . Travel August through November, and again from January through March. https:// bit.ly/2M6rTq5 #Atlanta #Seattle #Portland #SaltLakeCity #Minneapolis #airfare #flights pic.twitter.com/UW8mL1oxzk",Flights China low RT Travel August November January March https bit ly M rTq Atlanta Seattle Portland SaltLakeCity Minneapolis airfare flights pic twitter com UW mL oxzk,2,27,0,0,30,1,0,0,8,16, Flights China low RT Travel August November January March HTTP bit l M rt Atlanta Seattle Portland Salacity Minneapolis airfare flights pic twitter com U ml ox
The joy of air travel. @AmericanAir ridiculously poor customer service. https:// twitter.com/ajc/status/102 5820677058781186 …,The joy air travel ridiculously poor customer service https twitter com ajc status,0,13,2,1,11,1,0,0,0,6, The joy air travel ridiculously poor customer service HTTP twitter com ac status
You can see the new scoreboard for the sky! @OSUAthletics @FlyStillwaterOK @AmericanAir @visitstillwater pic.twitter.com/RewEM1fioa,You see new scoreboard sky pic twitter com RewEM fioa,0,13,0,0,14,1,0,0,0,6, You see new scoreboard sky pic twitter com Rewed Fiona
"I believe air service to Cheyenne is critical, and beginning Nov 4 we will have it with daily flights to/from Dallas/Fort Worth. Welcome, @AmericanAir . This is how we grow our economy. @ENDOWyo @BloombergDotOrg https://www. wyomingnews.com/news/american- airlines-announces-dallas-fort-worth-service-to-cheyenne/article_f4cfee02-999e-11e8-b993-5bbcd4391992.html …",I believe air service Cheyenne critical beginning Nov daily flights Dallas Fort Worth Welcome This grow economy https www wyomingnews com news american airlines announces dallas fort worth service cheyenne article f cfee e e b bbcd html,0,39,0,0,38,1,0,0,0,14, I believe air service Cheyenne critical beginning Nov daily flights Dallas Fort Worth Welcome This grow economy HTTP WWW Wyomingites com news American airlines announces Dallas fort worth service Cheyenne article f fee e e b BBC HTML
"MEGA POST: US cities to Beijing or Shanghai, China from only $377 roundtrip with @AmericanAir . https://www. secretflying.com/posts/us-citie s-to-beijing-or-shanghai-china-from-only-377-roundtrip/ … pic.twitter.com/Ok7qo9vyD1",MEGA POST US cities Beijing Shanghai China roundtrip https www secretflying com posts us citie beijing shanghai china roundtrip pic twitter com Ok qo vyD,3,26,0,0,21,1,0,0,0,10, MEGA POST US cities Beijing Shanghai China round trip HTTP WWW secret flying com posts us cutie Beijing shanghai china round trip pic twitter com OK q v Yd
@AmericanAir you never seize to amaze me on how bad you guys are at your job. For a company so big you really do a terrible job moving people across the country on time. It’s incredible that you guys have been around for this long. Worst airline in the world hands down! Just bad!,never seize amaze bad guys job For company big really terrible job moving people across country time It incredible guys around long Worst airline world hands Just bad,0,26,3,2,49,1,0,0,0,7, never seize amaze bad guys job For company big really terrible job moving people across country time It incredible guys around long Worst airline world hands Just bad
